plan_group_id,plan_group_name,plan_event_id,plan_event_name,plan_total_events,plan_type,event_id,event_name,event_date,event_time,team,game_number,total_events,tm_event_name,nesting_level,child_is_plan,season_id,host_integration_enabled
49,D25ALL <-> Markets,1048,D25ALL,31,S,1026,D250712,7/12/2025,18:00:00,07. Chicago,,1,D250712,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,1025,D250711,7/11/2025,18:00:00,07. Chicago,,1,D250711,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,968,D250809E,8/9/2025,19:00:00,11. Boston,,1,D250809E,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,967,D250809A,8/9/2025,13:00:00,11. Boston,,1,D250809A,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,966,D250808,8/8/2025,18:30:00,11. Boston,,1,D250808,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,965,D250726,7/26/2025,16:30:00,09. Salt Lake,,1,D250726,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,964,D250725,7/25/2025,18:00:00,09. Salt Lake,,1,D250725,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,963,D250628,6/28/2025,15:00:00,05. San Diego,,1,D250628,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,962,D250627,6/27/2025,18:00:00,05. San Diego,,1,D250627,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,961,D250614E,6/14/2025,19:00:00,03. Philadelphia,,1,D250614E,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,960,D250614A,6/14/2025,13:00:00,03. Philadelphia,,1,D250614A,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,959,D250613,6/13/2025,18:00:00,03. Philadelphia,,1,D250613,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,958,D250607E,6/7/2025,19:00:00,02. Charlotte,,1,D250607E,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,957,D250607A,6/7/2025,13:00:00,02. Charlotte,,1,D250607A,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,956,D250606,6/6/2025,18:00:00,02. Charlotte,,1,D250606,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,955,D250531E,5/31/2025,19:00:00,01. Albany,,1,D250531E,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,954,D250531A,5/31/2025,13:00:00,01. Albany,,1,D250531A,2,N,182,N
49,D25ALL <-> Markets,1048,D25ALL,31,S,953,D250530,5/30/2025,18:00:00,01. Albany,,1,D250530,2,N,182,N
