year,market,date_of_goal,revenue,ticket_category,plan_name,ticket_type,hcp_renewal_flag,year_market_target_atp
2025,Fairfield,1/28/25,0,non_internal,single_day,single_day,0,52.81
2025,Minnesota,1/28/25,0,group,single_day,single_day,0,41.81
2025,Salt Lake City,1/28/25,0,non_internal,single_day,single_day,0,54.92
2025,Charlotte,1/28/25,0,group,homecoming_pass,homecoming_pass,0,38.28
2025,Minnesota,1/28/25,0,group,homecoming_pass,homecoming_pass,0,41.81
2025,Kansas City,1/28/25,0,suite,single_day,single_day,0,39.42
2025,Philly/Nova,1/28/25,0,non_internal,homecoming_pass,homecoming_pass,0,42.99
2025,Chicago,1/28/25,0,group,single_day,single_day,0,44.7
2025,Kansas City,1/28/25,0,group,single_day,single_day,0,39.42
2025,Boston/Harvard,1/28/25,0,suite,single_day,single_day,0,47.87
2025,Charlotte,1/28/25,0,group,single_day,single_day,0,38.28
2025,Philly/Nova,1/28/25,0,group,single_day,single_day,0,42.99
2025,Albany,1/28/25,0,group,homecoming_pass,homecoming_pass,0,34.76
2025,Fairfield,1/28/25,0,suite,single_day,single_day,0,52.81
2025,Albany,1/28/25,0,non_internal,homecoming_pass,homecoming_pass,0,34.76
2025,Kansas City,1/28/25,0,non_internal,single_day,single_day,0,39.42
2025,Charlotte,1/28/25,0,non_internal,homecoming_pass,homecoming_pass,0,38.28
2025,Salt Lake City,1/28/25,0,suite,single_day,single_day,0,54.92
2025,Chicago,1/28/25,0,non_internal,homecoming_pass,homecoming_pass,0,44.7
2025,Boston/Harvard,1/28/25,0,non_internal,homecoming_pass,homecoming_pass,0,47.87
2025,Red Bull,1/29/25,0,group,homecoming_pass,homecoming_pass,1,53.26
2025,San Diego,1/29/25,0,group,homecoming_pass,homecoming_pass,0,50.33
2025,Red Bull,1/29/25,0,group,homecoming_pass,homecoming_pass,0,53.26
2025,Denver,1/29/25,0,group,single_day,single_day,0,51.68
2025,Charlotte,1/29/25,0,non_internal,homecoming_pass,homecoming_pass,0,38.28
2025,Albany,1/29/25,0,non_internal,homecoming_pass,homecoming_pass,0,34.76
2025,Kansas City,1/29/25,0,non_internal,single_day,single_day,0,39.42
2025,Champ Series,1/29/25,2142.8571428571427,suite,single_day,single_day,0,31.95
2025,Albany,1/29/25,1000,suite,single_day,single_day,0,34.76
2025,Champ Series,1/29/25,672.85714285714289,non_internal,all_access,all_access,0,31.95
2025,Chicago,1/29/25,10585.8,non_internal,single_day,single_day,0,44.7
2025,Red Bull,1/29/25,0,suite,single_day,single_day,0,53.26
2025,Fairfield,1/29/25,2978.625,non_internal,single_day,single_day,0,52.81
2025,Red Bull,1/29/25,0,group,single_day,single_day,0,53.26
2025,Albany,1/29/25,0,group,homecoming_pass,homecoming_pass,0,34.76
2025,Fairfield,1/29/25,0,suite,single_day,single_day,0,52.81
2025,Champ Series,1/29/25,2929.5714285714284,non_internal,single_day,single_day,0,31.95
2025,Minnesota,1/29/25,0,group,homecoming_pass,homecoming_pass,1,41.81
2025,Minnesota,1/29/25,0,group,single_day,single_day,0,41.81
2025,Salt Lake City,1/29/25,0,non_internal,single_day,single_day,0,54.92
2025,Boston/Harvard,1/29/25,0,non_internal,homecoming_pass,homecoming_pass,0,47.87
2025,Champ Series,1/29/25,157.28571428571428,group,all_access,all_access,0,31.95
2025,Chicago,1/29/25,1176.2,group,single_day,single_day,0,44.7
2025,Albany,1/29/25,5775.5,group,homecoming_pass,homecoming_pass,1,34.76
2025,Salt Lake City,1/29/25,9024,group,homecoming_pass,homecoming_pass,1,54.92
2025,Boston/Harvard,1/29/25,166.5,group,single_day,single_day,0,47.87
2025,Charlotte,1/29/25,0,suite,single_day,single_day,0,38.28
2025,Fairfield,1/29/25,0,non_internal,homecoming_pass,homecoming_pass,0,52.81
2025,Philly/Nova,1/29/25,0,group,homecoming_pass,homecoming_pass,0,42.99
2025,Boston/Harvard,1/29/25,3500,suite,single_day,single_day,0,47.87
2025,Charlotte,1/29/25,23.5,group,single_day,single_day,0,38.28
2025,Philly/Nova,1/29/25,0,group,single_day,single_day,0,42.99
2025,Minnesota,1/29/25,0,non_internal,homecoming_pass,homecoming_pass,0,41.81
2025,San Diego,1/29/25,0,group,single_day,single_day,0,50.33
2025,Chicago,1/29/25,0,group,homecoming_pass,homecoming_pass,1,44.7
2025,Chicago,1/29/25,0,group,homecoming_pass,homecoming_pass,0,44.7
2025,Fairfield,1/29/25,250,group,single_day,single_day,0,52.81
2025,Baltimore,1/29/25,0,group,single_day,single_day,0,49.35
2025,San Diego,1/29/25,0,non_internal,single_day,single_day,0,50.33
2025,Boston/Harvard,1/29/25,0,group,homecoming_pass,homecoming_pass,0,47.87
2025,San Diego,1/29/25,0,non_internal,homecoming_pass,homecoming_pass,0,50.33
2025,Champ Series,1/29/25,312,premium_add_on,single_day,single_day,0,31.95
2025,Kansas City,1/29/25,0,group,single_day,single_day,0,39.42
2025,Albany,1/29/25,0,group,single_day,single_day,0,34.76
2025,Chicago,1/29/25,0,non_internal,homecoming_pass,homecoming_pass,0,44.7
2025,Fairfield,1/29/25,0,group,homecoming_pass,homecoming_pass,0,52.81
2025,Champ Series,1/29/25,1855.1428571428571,group,single_day,single_day,0,31.95
2025,Salt Lake City,1/29/25,0,suite,single_day,single_day,0,54.92
2025,Philly/Nova,1/29/25,0,non_internal,single_day,single_day,0,42.99
2025,Chicago,1/29/25,0,suite,single_day,single_day,0,44.7
2025,Kansas City,1/29/25,0,group,homecoming_pass,homecoming_pass,0,39.42
2025,Salt Lake City,1/29/25,0,group,homecoming_pass,homecoming_pass,0,54.92
2025,San Diego,1/29/25,3783.75,group,homecoming_pass,homecoming_pass,1,50.33
2025,Charlotte,1/29/25,0,group,homecoming_pass,homecoming_pass,0,38.28
2025,Albany,1/29/25,1140.75,non_internal,single_day,single_day,0,34.76
2025,Minnesota,1/29/25,0,group,homecoming_pass,homecoming_pass,0,41.81
2025,Salt Lake City,1/29/25,0,non_internal,homecoming_pass,homecoming_pass,0,54.92
2025,Philly/Nova,1/29/25,0,suite,single_day,single_day,0,42.99
2025,Kansas City,1/29/25,0,group,homecoming_pass,homecoming_pass,1,39.42
2025,Fairfield,1/29/25,0,group,homecoming_pass,homecoming_pass,1,52.81
2025,Kansas City,1/29/25,0,non_internal,homecoming_pass,homecoming_pass,0,39.42
2025,Minnesota,1/29/25,0,suite,single_day,single_day,0,41.81
2025,Boston/Harvard,1/29/25,5399.25,group,homecoming_pass,homecoming_pass,1,47.87
2025,San Diego,1/29/25,0,suite,single_day,single_day,0,50.33
2025,Charlotte,1/29/25,7126,group,homecoming_pass,homecoming_pass,1,38.28
2025,Philly/Nova,1/29/25,1749.5,group,homecoming_pass,homecoming_pass,1,42.99
2025,Salt Lake City,1/29/25,1079.5,group,single_day,single_day,0,54.92
2025,Minnesota,1/29/25,0,non_internal,single_day,single_day,0,41.81
2025,Boston/Harvard,1/29/25,0,non_internal,single_day,single_day,0,47.87
2025,Charlotte,1/29/25,0,non_internal,single_day,single_day,0,38.28
2025,Baltimore,1/29/25,0,non_internal,homecoming_pass,homecoming_pass,0,49.35
2025,Baltimore,1/29/25,0,non_internal,single_day,single_day,0,49.35
