event_name,team,event_date,event_time,season_name,plan,total_events,game_number,default_ticket_template_name,returnable,enabled,onsale_datetime,offsale_datetime,oss_onsale_datetime,oss_offsale_datetime,fror_seat_list_name,fror_min_seats,fror_max_seats,fror_assignment_type,fror_alert_text,fror_onsale_datetime,fror_offsale_datetime,plan_abv,barcode_status,barcode_event_slots,barcode_max_seats_per_row,event_line1,event_line2,event_line3,event_line4,event_line5,event_line6,event_line7,event_line8,event_line9,event_line10,inet_line1,inet_line2,inet_line3,inet_line4,inet_line5,inet_line6,inet_line7,inet_line8,inet_line9,inet_line10,auto_add_membership_name1,auto_add_membership_name2,auto_add_membership_name3,membership_reqd,pc_membership_reqd,ledger_code
250213D,2025 Champ Series Suites,2/13/2025,19:00:00,25.00SD Champ Series Suite Deposits,N,1,,,Y,Y,,,,,,,,S,,,,DEP,N,1,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250614AH,03. Philadelphia,6/14/2025,13:00:00,25.03UP Philadelphia Upsell,N,1,,,Y,Y,,,,,,,,S,,,,EXP,Y,1,32,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250531AH,01. Albany,5/31/2025,13:00:00,25.01UP Albany Upsell,N,1,,,N,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250531EH,01. Albany,5/31/2025,19:00:00,25.01UP Albany Upsell,N,1,,,N,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250530M,01. Albany,5/30/2025,18:00:00,25.01UP Albany Upsell,N,1,,,N,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250216ED,2025 Champ Series Suites,2/16/2025,18:00:00,25.00SD Champ Series Suite Deposits,N,1,,,Y,Y,,,,,,,,S,,,,DEP,N,1,,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250531AM,01. Albany,5/31/2025,13:00:00,25.01UP Albany Upsell,N,1,,,N,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
TESTPLAN,TEST,12/31/2025,23:59:00,TEST The St. James,Y,5,,,Y,Y,,,,,,,,S,,,,FS,N,1,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,GEN
TESTEVT1,TEST,12/1/2025,20:00:00,TEST The St. James,N,1,,,Y,Y,,,,,,,,S,,,,E,N,1,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,GEN
TESTEVT2,TEST,12/2/2025,20:00:00,TEST The St. James,N,1,,,Y,Y,,,,,,,,S,,,,E,N,1,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,GEN
TESTEVT3,TEST,12/3/2025,20:00:00,TEST The St. James,N,1,,,Y,Y,,,,,,,,S,,,,E,N,1,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,GEN
TESTEVT4,TEST,12/4/2025,20:00:00,TEST The St. James,N,1,,,Y,Y,,,,,,,,S,,,,E,N,1,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,GEN
TESTEVT5,TEST,12/5/2025,20:00:00,TEST The St. James,N,1,,,Y,Y,,,,,,,,S,,,,E,N,1,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,GEN
250531EM,01. Albany,5/31/2025,19:00:00,25.01UP Albany Upsell,N,1,,,N,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
25AHP,01. Albany,5/31/2025,23:59:00,25.01 Albany Season,Y,3,,,N,N,,,1/29/2025 06:00,5/31/2025 23:59,,,,S,,,,FS,N,1,,,,,,,,,,,,,,,,,,,,,,2025,ALBANY,HOMEPASS,N,N,GEN
250531A,01. Albany,5/31/2025,13:00:00,25.01 Albany Season,N,1,11,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,PREMIER LACROSSE LEAGUE,MARYLAND WHIPSNAKES,vs,UTAH ARCHERS,TOM & MARY CASEY STADIUM,SAT MAY 31 2025 1:00 PM,,,,00006226D76B2545,PREMIER LACROSSE LEAGUE,MARYLAND WHIPSNAKES,vs,UTAH ARCHERS,TOM & MARY CASEY STADIUM,SAT MAY 31 2025 1:00 PM,,,,,2025,ALBANY,,N,N,GEN
250531E,01. Albany,5/31/2025,19:00:00,25.01 Albany Season,N,1,12,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,PREMIER LACROSSE LEAGUE,BOSTON CANNONS,vs,NEW YORK ATLAS,TOM & MARY CASEY STADIUM,SAT MAY 31 2025 7:00 PM,,,,00006226D76D254B,PREMIER LACROSSE LEAGUE,BOSTON CANNONS,vs,NEW YORK ATLAS,TOM & MARY CASEY STADIUM,SAT MAY 31 2025 7:00 PM,,,,,2025,ALBANY,,N,Y,GEN
250530,01. Albany,5/30/2025,18:00:00,25.01 Albany Season,N,1,10,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,PREMIER LACROSSE LEAGUE,GAME 1: CHAOS vs ATLAS,---,GAME 2: REDWOODS vs OUTLAWS,TOM & MARY CASEY STADIUM,FRI MAY 30 2025 6:00 & 8:30 PM,,,,00006226D7692526,PREMIER LACROSSE LEAGUE,GAME 1: CHAOS vs ATLAS,---,GAME 2: REDWOODS vs OUTLAWS,TOM & MARY CASEY STADIUM,FRI MAY 30 2025 6:00 & 8:30 PM,,,,,2025,ALBANY,,N,N,GEN
25CHP,02. Charlotte,6/6/2025,23:59:00,25.02 Charlotte Season,Y,3,,,Y,Y,,,1/29/2025 06:00,6/6/2025 20:00,,,,S,,,,FS,N,2,,,,,,,,,,,,,,,,,,,,,,2025,CHARLOTTE,HOMEPASS,N,N,GEN
250606,02. Charlotte,6/6/2025,18:00:00,25.02 Charlotte Season,N,1,13,Ticket,Y,Y,,,,,,,,S,,,,E,Y,2,32,PREMIER LACROSSE LEAGUE,GAME 1: OUTLAWS vs CHAOS,---,GAME 2: WATERDOGS vs WHIPSNAKES,AMERICAN LEGION MEMORIAL STADIUM,FRI JUNE 6 2025 6:00 & 8:30 PM,,,,2D006227A73B262C,PREMIER LACROSSE LEAGUE,GAME 1: OUTLAWS vs CHAOS,---,GAME 2: WATERDOGS vs WHIPSNAKES,AMERICAN LEGION MEMORIAL STADIUM,FRI JUNE 6 2025 6:00 & 8:30 PM,,,,,2025,CHARLOTTE,,N,N,GEN
250607A,02. Charlotte,6/7/2025,13:00:00,25.02 Charlotte Season,N,1,14,Ticket,Y,Y,,,,,,,,S,,,,E,Y,2,32,PREMIER LACROSSE LEAGUE,UTAH ARCHERS,vs,BOSTON CANNONS,AMERICAN LEGION MEMORIAL STADIUM,SAT JUNE 7 2025 1:00 PM,,,,2D006227A73E2635,PREMIER LACROSSE LEAGUE,UTAH ARCHERS,vs,BOSTON CANNONS,AMERICAN LEGION MEMORIAL STADIUM,SAT JUNE 7 2025 1:00 PM,,,,,2025,CHARLOTTE,,N,N,GEN
25PHP,03. Philadelphia,6/13/2025,23:59:00,25.03 Philadelphia Season,Y,3,,,Y,Y,,,1/29/2025 06:00,6/13/2025 20:00,,,,S,,,,FS,N,2,,,,,,,,,,,,,,,,,,,,,,2025,PHILADELPHIA,HOMEPASS,N,N,GEN
