event_name,market,event_date,event_time,season_name,plan,total_events,plan_abv
250606G,02. Charlotte,6/6/25,18:00:00,25.02UP Charlotte Upsell,N,1,EXP
250606F,02. Charlotte,6/6/25,18:00:00,25.02UP Charlotte Upsell,N,1,EXP
250607AF,02. Charlotte,6/7/25,13:00:00,25.02UP Charlotte Upsell,N,1,EXP
250607EF,02. Charlotte,6/7/25,19:00:00,25.02UP Charlotte Upsell,N,1,EXP
250607AG,02. Charlotte,6/7/25,13:00:00,25.02UP Charlotte Upsell,N,1,EXP
250607EG,02. Charlotte,6/7/25,19:00:00,25.02UP Charlotte Upsell,N,1,EXP
250607AH,02. Charlotte,6/7/25,13:00:00,25.02UP Charlotte Upsell,N,1,EXP
250607EH,02. Charlotte,6/7/25,19:00:00,25.02UP Charlotte Upsell,N,1,EXP
250607AM,02. Charlotte,6/7/25,13:00:00,25.02UP Charlotte Upsell,N,1,EXP
250607EM,02. Charlotte,6/7/25,19:00:00,25.02UP Charlotte Upsell,N,1,EXP
250613M,03. Philadelphia,6/13/25,18:00:00,25.03UP Philadelphia Upsell,N,1,E
250613G,03. Philadelphia,6/13/25,18:00:00,25.03UP Philadelphia Upsell,N,1,EXP
250613F,03. Philadelphia,6/13/25,18:00:00,25.03UP Philadelphia Upsell,N,1,E
250621M,04. Baltimore,6/21/25,16:00:00,25.04UP Baltimore Upsell,N,1,EXP
250622M,04. Baltimore,6/22/25,12:00:00,25.04UP Baltimore Upsell,N,1,EXP
250621G,04. Baltimore,6/21/25,16:00:00,25.04UP Baltimore Upsell,N,1,EXP
250622G,04. Baltimore,6/22/25,12:00:00,25.04UP Baltimore Upsell,N,1,EXP
250621F,04. Baltimore,6/21/25,16:00:00,25.04UP Baltimore Upsell,N,1,EXP
250622F,04. Baltimore,6/22/25,12:00:00,25.04UP Baltimore Upsell,N,1,EXP
250614EF,03. Philadelphia,6/14/25,19:00:00,25.03UP Philadelphia Upsell,N,1,EXP
250614EG,03. Philadelphia,6/14/25,19:00:00,25.03UP Philadelphia Upsell,N,1,EXP
250614EM,03. Philadelphia,6/14/25,19:00:00,25.03UP Philadelphia Upsell,N,1,E
250614AF,03. Philadelphia,6/14/25,13:00:00,25.03UP Philadelphia Upsell,N,1,E
250614AG,03. Philadelphia,6/14/25,13:00:00,25.03UP Philadelphia Upsell,N,1,EXP
250614AM,03. Philadelphia,6/14/25,13:00:00,25.03UP Philadelphia Upsell,N,1,E
250627C,05. San Diego,6/27/25,18:00:00,25.05UP San Diego Upsell,N,1,EXP
250628C,05. San Diego,6/28/25,15:00:00,25.05UP San Diego Upsell,N,1,EXP
250627M,05. San Diego,6/27/25,18:00:00,25.05UP San Diego Upsell,N,1,EXP
250628M,05. San Diego,6/28/25,15:00:00,25.05UP San Diego Upsell,N,1,EXP
250627G,05. San Diego,6/27/25,18:00:00,25.05UP San Diego Upsell,N,1,EXP
250628G,05. San Diego,6/28/25,15:00:00,25.05UP San Diego Upsell,N,1,EXP
250627F,05. San Diego,6/27/25,18:00:00,25.05UP San Diego Upsell,N,1,EXP
250628F,05. San Diego,6/28/25,15:00:00,25.05UP San Diego Upsell,N,1,EXP
250704C,06. Kansas City,7/4/25,19:00:00,25.06UP Kansas City Upsell,N,1,EXP
250705C,06. Kansas City,7/5/25,12:00:00,25.06UP Kansas City Upsell,N,1,EXP
250704M,06. Kansas City,7/4/25,19:00:00,25.06UP Kansas City Upsell,N,1,EXP
250705M,06. Kansas City,7/5/25,12:00:00,25.06UP Kansas City Upsell,N,1,EXP
250704G,06. Kansas City,7/4/25,19:00:00,25.06UP Kansas City Upsell,N,1,EXP
250705G,06. Kansas City,7/5/25,12:00:00,25.06UP Kansas City Upsell,N,1,EXP
250704F,06. Kansas City,7/4/25,19:00:00,25.06UP Kansas City Upsell,N,1,EXP
250705F,06. Kansas City,7/5/25,12:00:00,25.06UP Kansas City Upsell,N,1,EXP
250725H,09. Salt Lake City,7/25/25,18:00:00,25.09UP Salt Lake City Upsell,N,1,EXP
250726H,09. Salt Lake City,7/26/25,16:30:00,25.09UP Salt Lake City Upsell,N,1,EXP
250725M,09. Salt Lake City,7/25/25,18:00:00,25.09UP Salt Lake City Upsell,N,1,EXP
250726M,09. Salt Lake City,7/26/25,16:30:00,25.09UP Salt Lake City Upsell,N,1,EXP
250725G,09. Salt Lake City,7/25/25,18:00:00,25.09UP Salt Lake City Upsell,N,1,EXP
250726G,09. Salt Lake City,7/26/25,16:30:00,25.09UP Salt Lake City Upsell,N,1,EXP
250725F,09. Salt Lake City,7/25/25,18:00:00,25.09UP Salt Lake City Upsell,N,1,EXP
250726F,09. Salt Lake City,7/26/25,16:30:00,25.09UP Salt Lake City Upsell,N,1,EXP
250808M,11. Boston,8/8/25,20:00:00,25.11UP Boston Upsell,N,1,EXP
250809AM,11. Boston,8/9/25,13:00:00,25.11UP Boston Upsell,N,1,EXP
250809EM,11. Boston,8/9/25,19:00:00,25.11UP Boston Upsell,N,1,EXP
250808G,11. Boston,8/8/25,20:00:00,25.11UP Boston Upsell,N,1,EXP
250809AG,11. Boston,8/9/25,13:00:00,25.11UP Boston Upsell,N,1,EXP
250809EG,11. Boston,8/9/25,19:00:00,25.11UP Boston Upsell,N,1,EXP
250808F,11. Boston,8/8/25,20:00:00,25.11UP Boston Upsell,N,1,EXP
250809AF,11. Boston,8/9/25,13:00:00,25.11UP Boston Upsell,N,1,EXP
250809EF,11. Boston,8/9/25,19:00:00,25.11UP Boston Upsell,N,1,EXP
250823HC,12. Minneapolis,8/23/25,17:00:00,25.12UP Minneapolis Upsell,N,1,EXP
250823M,12. Minneapolis,8/23/25,17:00:00,25.12UP Minneapolis Upsell,N,1,EXP
250823G,12. Minneapolis,8/23/25,17:00:00,25.12UP Minneapolis Upsell,N,1,EXP
250823F,12. Minneapolis,8/23/25,17:00:00,25.12UP Minneapolis Upsell,N,1,EXP
ALBVIP,Albany VIP,5/31/25,20:00:00,25.01UP Albany Upsell,Y,3,FS
ALBVIP1,Albany VIP,5/30/25,18:00:00,25.01UP Albany Upsell,N,1,E
ALBVIP2,Albany VIP,5/31/25,13:00:00,25.01UP Albany Upsell,N,1,E
ALBVIP3,Albany VIP,5/31/25,19:00:00,25.01UP Albany Upsell,N,1,E
ALBFOOD,,5/31/25,20:00:00,25.01UP Albany Upsell,N,1,E
25CGIFT,Charlotte,6/7/25,19:00:00,25.02UP Charlotte Upsell,N,1,E
CHARVIP,Charlotte,6/6/25,19:00:00,25.02UP Charlotte Upsell,Y,3,FS
CHARVIP1,Charlotte,6/6/25,18:00:00,25.02UP Charlotte Upsell,N,1,E
CHARVIP2,Charlotte,6/7/25,13:00:00,25.02UP Charlotte Upsell,N,1,E
CHARVIP3,Charlotte,6/7/25,19:00:00,25.02UP Charlotte Upsell,N,1,E
250614EV,03. Philadelphia,6/14/25,19:00:00,25.03UP Philadelphia Upsell,N,1,FB
250614AV,03. Philadelphia,6/14/25,13:00:00,25.03UP Philadelphia Upsell,N,1,FB
250613V,03. Philadelphia,6/13/25,18:00:00,25.03UP Philadelphia Upsell,N,1,FB
25PGIFT,Philadelphia Gift,6/13/25,20:00:00,25.03UP Philadelphia Upsell,N,1,E
TIX,,6/14/25,20:00:00,TEST GA Season,N,1,E
25BGIFT,Baltimore Gift,6/21/25,20:00:00,25.04UP Baltimore Upsell,N,1,E
25SDGIFT,San Diego Gift,6/27/25,20:00:00,25.05UP San Diego Upsell,N,1,E
250704PB,Kansas City Parking,7/4/25,17:15:00,25.06PK Kansas City ASG Parking,N,1,E
250705PB,Kansas City Parking,7/5/25,12:00:00,25.06PK Kansas City ASG Parking,N,1,E
250704PT,Kansas City Parking,7/4/25,17:15:00,25.06PK Kansas City ASG Parking,N,1,E
250705PT,Kansas City Parking,7/5/25,12:00:00,25.06PK Kansas City ASG Parking,N,1,E
250704PG,Kansas City Parking,7/4/25,17:15:00,25.06PK Kansas City ASG Parking,N,1,E
250705PG,Kansas City Parking,7/5/25,12:00:00,25.06PK Kansas City ASG Parking,N,1,E
250704SA,06. Kansas City,7/4/25,17:15:00,25.06S Kansas City Suite Additionals,N,1,E
250705SA,06. Kansas City,7/5/25,12:00:00,25.06S Kansas City Suite Additionals,N,1,E
